Species,Product ID,Product Name,Category,Current Price,Current ASIN,Amazon URL or ASIN (Fill This),Image urls
Ball Python,warm-hide,Warm Hide (Cave),hides,28.99,B008YDHDD2,https://www.amazon.com/dp/B008YDHDD2?tag=habitatbuilde-20,
Ball Python,cool-hide,Cool Hide,hides,18.99,B0GG5XB171,https://www.amazon.com/dp/B0GG5XB171?tag=habitatbuilde-20,
Ball Python,humid-hide,Humid Hide (Box),hides,18.49,B0FLQPPBJV,https://www.amazon.com/dp/B0FLQPPBJV?tag=habitatbuilde-20,
Ball Python,cork-log,Cork Log / Cork Rounds,hides,34.44,B001F9ANVG,https://www.amazon.com/dp/B001F9ANVG?tag=habitatbuilde-20,
Ball Python,water-bowl,Large Heavy Water Bowl (soaking size),water,19.99,B0002DJ0PQ,https://www.amazon.com/dp/B0002DJ0PQ?tag=habitatbuilde-20,
Ball Python,temp-gun,Etekcity Infrared Temperature Gun,monitoring,16.99,B0B71HFH9K,https://www.amazon.com/dp/B0B71HFH9K?tag=habitatbuilde-20,
Crested Gecko,12x12x18,Waazoo 12x12x18 Glass Terrarium,enclosures,112.99,B0DK5BQ525,https://www.amazon.com/dp/B0DK5BQ525?tag=habitatbuilde-20,
Crested Gecko,18x18x24,REPTI ZOO 18x18x24 Rainforest Terrarium,enclosures,176.99,B0D25Z1L2Z,https://www.amazon.com/dp/B0D25Z1L2Z?tag=habitatbuilde-20,
Crested Gecko,18x18x36,REPTI ZOO 18x18x36 Chameleon Terrarium,enclosures,174.99,B0DDTBRJ9H,https://www.amazon.com/dp/B0DDTBRJ9H?tag=habitatbuilde-20,
Crested Gecko,24x18x36,REPTI ZOO 24x18x36 Large Rainforest Terrarium,enclosures,208.99,B07Y866155,https://www.amazon.com/dp/B07Y866155?tag=habitatbuilde-20,
Crested Gecko,halogen-25w,REPTI ZOO 25W Daylight Basking Bulb,heating,14.99,B0FF42ZTKW,https://www.amazon.com/dp/B0FF42ZTKW?tag=habitatbuilde-20,
Crested Gecko,halogen-35w,Arcadia Golden Basking Halogen Lamp 35W,heating,17.99,B0DJRKGZN9,https://www.amazon.com/dp/B0DJRKGZN9?tag=habitatbuilde-20,
Crested Gecko,ceramic-heat-emitter,Zoo Med Ceramic Heat Emitter 40W,heating,23.38,B075LNBF1Q,https://www.amazon.com/dp/B075LNBF1Q?tag=habitatbuilde-20,
Crested Gecko,dimmer,Lutron Credenza Plug-In Lamp Dimmer 300W,heating,14.99,B0000BYEF6,https://www.amazon.com/dp/B0000BYEF6?tag=habitatbuilde-20,
Crested Gecko,reptisun-5-cfl,Zoo Med ReptiSun 5.0 Mini CFL 13W,uvb,14.99,B00A8RI8TK,https://www.amazon.com/dp/B00A8RI8TK?tag=habitatbuilde-20,
